d,English,German,Russian
GAMEPLAY_WearingPostfix,(Équipé),,
GAMEPLAY_WeatherConditions,Conditions,,
GAMEPLAY_Weight,Poids,,
GAMEPLAY_WeightAddedInventory,{weight-value} {item-name} added to inventory,,
GAMEPLAY_Wenttosleep,Went to sleep.,,
GAMEPLAY_West,Ouest,,
GAMEPLAY_Wind,Vent,,
GAMEPLAY_Windchill,Temp. Vent,,
GAMEPLAY_Window,Fenêtre,,
GAMEPLAY_WindproofBonus,Windproof Bonus,,
GAMEPLAY_WithWindchill,With Windchill,,
GAMEPLAY_Wokeupaftersleeping,Woke up after sleeping ,,
GAMEPLAY_Wolfattack,Wolf attack!,,
GAMEPLAY_WolfCarcass,Wolf Carcass,,
GAMEPLAY_WolfMeatCooked,Wolf Meat (Cooked),,
GAMEPLAY_WolfMeatCookedDescription,Cooked flesh from a wolf.,,
GAMEPLAY_WolfMeatCookedTooltip,,,
GAMEPLAY_WolfMeatRaw,Wolf Meat (Raw),,
GAMEPLAY_WolfMeatRawDescription,Flesh from a wolf. Cook to eat safely.,,
GAMEPLAY_WolfMeatRawTooltip,,,
GAMEPLAY_WoodMatches,Wood Matches,,
GAMEPLAY_WoodMatchesDescription,Wooden strike-anywhere matches.,,
GAMEPLAY_WoodMatchesTooltip,Consumable firestarter,,
GAMEPLAY_WoodStove,Wood Stove,,
GAMEPLAY_WoolLongUnderwear,Wool Long Underwear,,
GAMEPLAY_WoolLongUnderwearDescription,Wool Long-Johns to keep your lower body warm.,,
GAMEPLAY_WoolLongUnderwearTooltip,Clothing,,
GAMEPLAY_WoolSocks,Wool Socks,,
GAMEPLAY_WoolSocksDescription,Wool socks. Tough and warm.,,
GAMEPLAY_WoolSocksTooltip,Clothing,,
GAMEPLAY_WorkBench,Work Bench,,
GAMEPLAY_WorkBoots,Work Boots,,
GAMEPLAY_WorkBootsDescription,Work boots. Steel-toed. The kind you'd find on a construction site.,,
GAMEPLAY_WorkBootsTooltip,Clothing,,
GAMEPLAY_WornOut,{item-name} ruined.,,
GAMEPLAY_Woundbecameinfected,Wound became infected.,,
GAMEPLAY_WoundBecameInfected,Your wound has become infected,,
GAMEPLAY_WoundHealedClean,Your wound has healed cleanly,,
GAMEPLAY_xTimeScale,x Time Scale,,
GAMEPLAY_Yield,Résultat,,
GAMEPLAY_You are too full to eat,You are too full to eat,,
GAMEPLAY_Youarenotthirsty,You are not thirsty,,
GAMEPLAY_Youaretoofulltoeat,You are too full to eat,,
GAMEPLAY_YouForaged,You foraged,,
GAMEPLAY_Youhavenoafflictions,You have no afflictions,,
GAMEPLAY_Youhavesurvived,Vous avez survécu,,
GAMEPLAY_Youhavesurvivedfor,Vous avez survécu pendant:,,
GAMEPLAY_Yoursleephasbeeninterrupted!,Votre sommeil a été interrompu!,,
GAMEPLAY_Yousurvivedfor,Vous avez survécu pendant,,
GAMEPLAY_ZeroHourMinute,0h 0m,,
GAMEPLAY_ZeroTime,0m,,
SCENENAME_Cabin,Cabane,,
SCENENAME_CampOffice,Camp Office,,
SCENENAME_CarterHydroDam,Carter Hydro Dam,,
SCENENAME_CoastalHighway,Coastal Highway,,
SCENENAME_MysteryLake,Mystery Lake,,
SCENENAME_PrepperCache,Prepper Cache,,
SCENENAME_QuonsetGasStation,Quonset Gas Station,,
SCENENAME_Ravine,Ravine,,
SCENENAME_TheOutdoors,The Outdoors,,
SCENENAME_Trailer,Trailer,,
SCENENAME_TrappersHomestead,Trapper's Homestead,,
SUBTITLE_AnkleSprain1,Damn it...sprained my ankle.,,
SUBTITLE_AnkleSprain2,Oooh...that's sore.,,
SUBTITLE_AnkleSprain3,That's going to slow things down...,,
SUBTITLE_Atk1,[Attack grunt],,
SUBTITLE_Atk2,[Attack grunt],,
SUBTITLE_Atk3,[Attack grunt],,
SUBTITLE_Atk4,[Attack grunt],,
SUBTITLE_Atk5,[Attack grunt],,
SUBTITLE_Bleeding1,Gotta stop that blood loss.,,
SUBTITLE_Bleeding2,Gotta stop that bleeding.,,
SUBTITLE_Bleeding3,Need some first aid.,,
SUBTITLE_BleedingSerious1,Feeling... faint.,,
SUBTITLE_BleedingSerious2,I'm going to bleed out soon.,,
SUBTITLE_BreathHighIntensity1,[Heavy breathing],,
SUBTITLE_BreathHighIntensity10,[Heavy breathing],,
SUBTITLE_BreathHighIntensity2,[Heavy breathing],,
SUBTITLE_BreathHighIntensity3,[Heavy breathing],,
SUBTITLE_BreathHighIntensity4,[Heavy breathing],,
SUBTITLE_BreathHighIntensity5,[Heavy breathing],,
SUBTITLE_BreathHighIntensity6,[Heavy breathing],,
SUBTITLE_BreathHighIntensity7,[Heavy breathing],,
SUBTITLE_BreathHighIntensity8,[Heavy breathing],,
SUBTITLE_BreathHighIntensity9,[Heavy breathing],,
SUBTITLE_BreathLowIntensity1,[Quiet breathing],,
SUBTITLE_BreathLowIntensity10,[Quiet breathing],,
SUBTITLE_BreathLowIntensity2,[Quiet breathing],,
SUBTITLE_BreathLowIntensity3,[Quiet breathing],,
SUBTITLE_BreathLowIntensity4,[Quiet breathing],,
SUBTITLE_BreathLowIntensity5,[Quiet breathing],,
SUBTITLE_BreathLowIntensity6,[Quiet breathing],,
SUBTITLE_BreathLowIntensity7,[Quiet breathing],,
SUBTITLE_BreathLowIntensity8,[Quiet breathing],,
SUBTITLE_BreathLowIntensity9,[Quiet breathing],,
SUBTITLE_BreathMediumIntensity1,[Moderate breathing],,
SUBTITLE_BreathMediumIntensity10,[Moderate breathing],,
SUBTITLE_BreathMediumIntensity2,[Moderate breathing],,
SUBTITLE_BreathMediumIntensity3,[Moderate breathing],,
SUBTITLE_BreathMediumIntensity4,[Moderate breathing],,
SUBTITLE_BreathMediumIntensity5,[Moderate breathing],,
SUBTITLE_BreathMediumIntensity6,[Moderate breathing],,
SUBTITLE_BreathMediumIntensity7,[Moderate breathing],,
SUBTITLE_BreathMediumIntensity8,[Moderate breathing],,
SUBTITLE_BreathMediumIntensity9,[Moderate breathing],,
SUBTITLE_BurnReaction1,Ow...hot hot hot.,,
SUBTITLE_BurnReaction2,Shit that burns.,,
SUBTITLE_BurnReaction3,Holy shit...that's hot.,,
SUBTITLE_BurnReaction4,Oh damn it...it burns...,,
SUBTITLE_BurnReaction5,Climbing into the fire...not a good idea.,,
SUBTITLE_Burns1,That hurts so much...,,
SUBTITLE_Burns2,It feels like it's still burning...,,
SUBTITLE_Burns3,Arggh the pain.,,
SUBTITLE_CatchBreath1,[Gasp],,
SUBTITLE_CatchBreath2,[Gasp],,
SUBTITLE_CatchBreath3,[Gasp],,
SUBTITLE_CatchBreath4,[Gasp],,
SUBTITLE_CombatAnimalGrappling1,Get away you mother...,,
SUBTITLE_CombatAnimalGrappling2,You're gonna die!!!!!,,
SUBTITLE_CombatAnimalGrappling3,I'm gonna to kill you and eat you ya bastard!!,,
SUBTITLE_CombatAnimalGrappling4,Let go of me!!!,,
SUBTITLE_CombatAnimalGrappling5,It's not gonna be that easy for you!!,,
SUBTITLE_CombatAnimalGrappling6,You're gonna have to do better than that!!,,
SUBTITLE_CombatAnimalGrappling7,[Extertion grunts],,
SUBTITLE_CombatAnimalGrappling8,[Extertion grunts],,
SUBTITLE_ConditionDehydrated1,My tongue feels like sandpaper.,,
SUBTITLE_ConditionDehydrated2,I need to find something to drink.,,
SUBTITLE_ConditionDehydrated3,I'm so thirsty I can't think straight.,,
SUBTITLE_ConditionDehydrated4,"I need somethink to drink, and soon.",,
SUBTITLE_ConditionDehydrated5,I'll die if I don't drink something soon.,,
SUBTITLE_ConditionDehydrated6,Mouth so dry.,,
SUBTITLE_ConditionDehydrated7,I need some water.,,
SUBTITLE_ConditionDehydrated8,Need a drink.,,
SUBTITLE_ConditionDehydrated9,Need… water.,,
SUBTITLE_ConditionEncumberanceHigh1,Too much to carry.,,
SUBTITLE_ConditionEncumberanceHigh2,I can't carry this any further.,,
SUBTITLE_ConditionEncumberanceHigh3,I'm going to have leave some of this gear behind.,,
SUBTITLE_ConditionEncumberanceHigh4,Can't move.,,
SUBTITLE_ConditionEncumberanceHigh5,Too heavy. Can't move.,,
SUBTITLE_ConditionEncumberanceLow1,This pack is getting kinda heavy.,,
SUBTITLE_ConditionEncumberanceLow2,I'm not sure I can carry much more.,,
SUBTITLE_ConditionEncumberanceLow3,I wonder if I can drop any of this gear...,,
SUBTITLE_ConditionEncumberanceLow4,Too heavy,,
SUBTITLE_ConditionEncumberanceLow5,Too much stuff to carry.,,
SUBTITLE_ConditionEncumberanceLow6,I might have to drop some gear.,,
SUBTITLE_ConditionEncumberanceLow7,I need to drop something.,,
SUBTITLE_ConditionEncumberanceLow8,I'm going to have to leave something behind. ,,
SUBTITLE_ConditionEncumberanceLow9,Something's got to go.,,
SUBTITLE_ConditionEncumberanceMedium1,I'm not going to be able to carry this load for much longer.,,
SUBTITLE_ConditionEncumberanceMedium2,This pack is getting too heavy to carry.,,
SUBTITLE_ConditionEncumberanceMedium3,I can barely walk with this much gear.,,
SUBTITLE_ConditionEncumberanceMedium4,All this gear is slowing me down.,,
SUBTITLE_ConditionEncumberanceMedium5,This gear is starting to slow me down.,,
SUBTITLE_ConditionEncumberanceMedium6,Starting to weigh me down.,,
SUBTITLE_ConditionEncumberanceMedium7,Feels like a lot of gear.,,
SUBTITLE_ConditionFair1,I don't feel so good.,,
SUBTITLE_ConditionFair2,I'm not sure I'm going to make it.,,
SUBTITLE_ConditionFair3,I'm not ready to die.,,
SUBTITLE_ConditionFair4,I don't have much more in me.,,
SUBTITLE_ConditionFair5,(Needs new line recorded),,
SUBTITLE_ConditionFatigue1,If I don't rest soon I'm going to faint.,,
SUBTITLE_ConditionFatigue2,I think I need to lay down.,,
SUBTITLE_ConditionFatigue3,I need to find a place to rest.,,
SUBTITLE_ConditionFatigue4,I'm going to need to rest soon.,,
SUBTITLE_ConditionFatigue5,I just need to close my eyes.,,
SUBTITLE_ConditionFatigueHigh1,So tired I could just lay down right here.,,
SUBTITLE_ConditionFatigueHigh2,I could lay down and have a little sleep right here.,,
SUBTITLE_ConditionFatigueHigh3,I'd lay down right here if I ever thought I'd wake up again.,,
SUBTITLE_ConditionFatigueHigh4,I'm so tired.,,
SUBTITLE_ConditionFatigueHigh5,I'm too tired to think straight. ,,
SUBTITLE_ConditionFreezing1,Damn...I'm freezing.,,
SUBTITLE_ConditionFreezing2,Wait...I'm so cold I'm warming up again.,,
SUBTITLE_ConditionFreezing3,So...cold.,,
SUBTITLE_ConditionFreezing4,I'm too cold to think.,,
SUBTITLE_ConditionFreezing5,I'll die if I don't warm up soon.,,
SUBTITLE_ConditionFreezing6,I'm so cold...just want to lay down for a bit...,,
SUBTITLE_ConditionFreezing7,Goddamn freezing.,,
SUBTITLE_ConditionFreezing8,Never felt so cold in my life,,
SUBTITLE_ConditionPoor1,Things are starting to look pretty grim.,,
SUBTITLE_ConditionPoor2,I think this might be the end.,,
SUBTITLE_ConditionPoor3,I'm going to die out here.,,
SUBTITLE_ConditionPoor4,Not going to pull through this time...,,
SUBTITLE_ConditionPoor5,In the end...did any of it really matter?,,
SUBTITLE_ConditionStarving1,Where can I find something to eat?,,
SUBTITLE_ConditionStarving10,Need something to eat.,,
SUBTITLE_ConditionStarving11,Gotta eat soon.,,
SUBTITLE_ConditionStarving2,I'll die if I don't get some food soon.,,
SUBTITLE_ConditionStarving3,I'm so hungry.,,
SUBTITLE_ConditionStarving4,Can you eat trees?,,
SUBTITLE_ConditionStarving5,My stomach feels like an empty pit...,,
SUBTITLE_ConditionStarving6,Never thought I'd be dying from starvation.,,
SUBTITLE_ConditionStarving7,I think my stomach is eating itself.,,
SUBTITLE_ConditionStarving8,"Dammit, so hungry.",,
SUBTITLE_ConditionStarving9,Getting weak.,,
SUBTITLE_ConditionVeryCold1,My fingers feel numb.,,
SUBTITLE_ConditionVeryCold2,The cold is making my head feel thick...,,
SUBTITLE_ConditionVeryCold3,I need to find some place to escape this cold.,,
SUBTITLE_ConditionVeryCold4,Can't feel my feet.,,
SUBTITLE_ConditionVeryCold5,Can't feel my hands.,,
SUBTITLE_ConditionVeryHungry1,I could eat anything right now.,,
SUBTITLE_ConditionVeryHungry2,I've never been so hungry in my life.,,
SUBTITLE_ConditionVeryHungry3,All I can think about is food.,,
SUBTITLE_ConditionVeryHungry4,I need to find food,,
SUBTITLE_ConditionVeryHungry5,Going to need to eat soon.,,
SUBTITLE_ConditionVeryHungry6,I could eat anything.,,
SUBTITLE_ConditionVeryHungry7,I could eat a horse.,,
SUBTITLE_ConditionVeryHungry8,I'd eat anything righ about now.,,
SUBTITLE_ConditionVeryThirsty1,I would drink almost anything about now.,,
SUBTITLE_ConditionVeryThirsty2,"Surrounded by snow, and nothing to drink...",,
SUBTITLE_ConditionVeryThirsty3,I'd eat snow if the hypothermia wouldn't kill me.,,
SUBTITLE_ConditionVeryThirsty4,That guy who drank his own pee doesn't seem so crazy right now...,,
SUBTITLE_ConditionVeryThirsty5,I would do anything for a drink right now.,,
SUBTITLE_ConditionVeryThirsty6,I could use a drink.,,
SUBTITLE_ConditionVeryThirsty7,Getting kind of thirsty.,,
SUBTITLE_ConditionVeryThirsty8,Better find some water.,,
SUBTITLE_DeathScream1,[Scream],,
SUBTITLE_DeathScream2,[Scream],,
SUBTITLE_Die1,[Moan],,
SUBTITLE_Die2,[Moan],,
SUBTITLE_Die3,[Moan],,
SUBTITLE_Die4,[Moan],,
SUBTITLE_Dysentery1,Oh this is a shitty way to die...,,
SUBTITLE_Dysentery2,Oh man...of all the ways to die...this is the worst...,,
SUBTITLE_Dysentery3,Oh boy...it feels like my stomach is burning...,,
SUBTITLE_ExertionHigh1,[Heavy exertion grunt],,
SUBTITLE_ExertionHigh2,[Heavy exertion grunt],,
SUBTITLE_ExertionHigh3,[Heavy exertion grunt],,
SUBTITLE_ExertionLow1,[Light exertion grunt],,
SUBTITLE_ExertionLow2,[Light exertion grunt],,
SUBTITLE_ExertionLow3,[Light exertion grunt],,
SUBTITLE_ExertionMedium1,[Moderate exertion grunt],,
SUBTITLE_ExertionMedium2,[Moderate exertion grunt],,
SUBTITLE_ExertionMedium3,[Moderate exertion grunt],,
SUBTITLE_FailFire1,Come on little fire...,,
SUBTITLE_FailFire2,Don't do this to me.,,
SUBTITLE_FailFire3,Are you serious?,,
SUBTITLE_FailGeneral1,Damn it.,,
SUBTITLE_FailGeneral2,That didn't work.,,
SUBTITLE_FailGeneral3,Why didn't that work?,,
SUBTITLE_FailGeneral4,Come on...come on...,,
SUBTITLE_FailGeneral5,Oh come on...,,
SUBTITLE_FoodPoisoning1,Ooooohh...I feel like I'm going to die...,,
SUBTITLE_FoodPoisoning2,Oh what a way to die...I just want to die...,,
SUBTITLE_FoodPoisoning3,My stomach...it hurts...oh it hurts...,,
SUBTITLE_Hit1,[Pain grunt],,
SUBTITLE_Hit2,[Pain grunt],,
SUBTITLE_Hit3,[Pain grunt],,
SUBTITLE_Hit4,[Pain grunt],,
SUBTITLE_Hit5,[Pain grunt],,
SUBTITLE_InjuredHigh1,Holy...that...ahhhhhh...,,
SUBTITLE_InjuredHigh2,This is serious.,,
SUBTITLE_InjuredHigh3,[Pain grunts],,
SUBTITLE_InjuredHigh4,[Pain grunts],,
SUBTITLE_InjuredHigh5,[Pain grunts],,
SUBTITLE_InjuredHigh6,[Pain grunts],,
SUBTITLE_InjuredLow1,Hurts a bit but I'll make it.,,
SUBTITLE_InjuredLow2,That smarts a bit.,,
SUBTITLE_InjuredLow3,[Pain grunts],,
SUBTITLE_InjuredLow4,[Pain grunts],,
SUBTITLE_InjuredLow5,[Pain grunts],,
SUBTITLE_InjuredLow6,[Pain grunts],,
SUBTITLE_InjuredLow7,"I'm going to need some first aid, soon. ",,
SUBTITLE_InjuredMedium1,Damn...that hurts.,,
SUBTITLE_InjuredMedium2,Wow...that hurts a lot.,,
SUBTITLE_InjuredMedium3,[Pain grunts],,
SUBTITLE_InjuredMedium4,[Pain grunts],,
SUBTITLE_InjuredMedium5,[Pain grunts],,
SUBTITLE_InjuredMedium6,[Pain grunts],,
SUBTITLE_InspectObject1,That'll come in handy.,,
SUBTITLE_InspectObject2,What have we here?,,
SUBTITLE_InspectObject3,Hope nobody needs this anymore.,,
SUBTITLE_InspectObject4,Looks like this has been here a while.,,
SUBTITLE_InspectObject5,I could use this.,,
SUBTITLE_LandHard1,[Hard grunt],,
SUBTITLE_LandHard2,[Hard grunt],,
SUBTITLE_LandHard3,[Hard grunt],,
SUBTITLE_LandHard4,[Hard grunt],,
SUBTITLE_LandLight1,[Light grunt],,
SUBTITLE_LandLight2,[Light grunt],,
SUBTITLE_LandLight3,[Light grunt],,
SUBTITLE_LandMedium1,[Medium grunt],,
SUBTITLE_LandMedium2,[Medium grunt],,
SUBTITLE_LandMedium3,[Medium grunt],,
SUBTITLE_LandMedium4,[Medium grunt],,
SUBTITLE_OpenContainer1,There's gotta be something useful in here.,,
SUBTITLE_OpenContainer2,Where's the good stuff?,,
SUBTITLE_OpenContainer3,Never would have thought to look here.,,
SUBTITLE_OpenContainer4,"Ah, someone's stash.",,
SUBTITLE_OpenContainer5,I wonder who owns this stuff?,,
SUBTITLE_OpenContainer6,I wonder if the owner's around?,,
SUBTITLE_TODDawn1,Looks like I made it through another night.,,
SUBTITLE_TODDawn2,Thank goodness...made it through another night.,,
SUBTITLE_TODDawn3,Looks like a new day is dawning.,,
SUBTITLE_TODDawn4,Looks like I survived another night.,,
SUBTITLE_TODNight1,Feels like night is coming.,,
SUBTITLE_TODNight2,It's dusk so night can't be far behind.,,
SUBTITLE_TODNight3,It's getting dark out here. Time to look for shelter.,,
SUBTITLE_TODNight4,The sun is setting. It's going to get a lot colder soon.,,
SUBTITLE_FemaleAnkleSprain1,Damn it...sprained my ankle.,,
SUBTITLE_FemaleAnkleSprain2,Oooh...that's sore.,,
SUBTITLE_FemaleAnkleSprain3,That's going to slow things down...,,
SUBTITLE_FemaleAtk1,[Attack grunt],,
SUBTITLE_FemaleAtk2,[Attack grunt],,
SUBTITLE_FemaleAtk3,[Attack grunt],,
SUBTITLE_FemaleAtk4,[Attack grunt],,
SUBTITLE_FemaleAtk5,[Attack grunt],,
SUBTITLE_FemaleBleeding1,Gotta stop that blood loss.,,
SUBTITLE_FemaleBleeding2,Need some first aid.,,
SUBTITLE_FemaleBleeding3,I gotta get some help.,,
SUBTITLE_FemaleBleeding4,Going to have to stop that bleeding somehow.,,
SUBTITLE_FemaleBleeding5,Gotta stop the bleeding before it gets worse.,,
SUBTITLE_FemaleBleedingSerious1,I'm gonna bleed out soon.,,
SUBTITLE_FemaleBleedingSerious2,Feeling...faint.,,
SUBTITLE_FemaleBleedingSerious3,Yeah...that smarts.,,
SUBTITLE_FemaleBleedingSerious4,Dammit...bleeding all over the place.,,
SUBTITLE_FemaleBleedingSerious5,Oh no...blood. All over. My blood.,,
SUBTITLE_FemaleBreathHighIntensity1,[Heavy breathing],,
SUBTITLE_FemaleBreathHighIntensity10,[Heavy breathing],,
SUBTITLE_FemaleBreathHighIntensity2,[Heavy breathing],,
SUBTITLE_FemaleBreathHighIntensity3,[Heavy breathing],,
SUBTITLE_FemaleBreathHighIntensity4,[Heavy breathing],,
SUBTITLE_FemaleBreathHighIntensity5,[Heavy breathing],,
SUBTITLE_FemaleBreathHighIntensity6,[Heavy breathing],,
SUBTITLE_FemaleBreathHighIntensity7,[Heavy breathing],,
SUBTITLE_FemaleBreathHighIntensity8,[Heavy breathing],,
SUBTITLE_FemaleBreathHighIntensity9,[Heavy breathing],,
SUBTITLE_FemaleBreathLowIntensity1,[Quiet breathing],,
SUBTITLE_FemaleBreathLowIntensity2,[Quiet breathing],,
SUBTITLE_FemaleBreathLowIntensity3,[Quiet breathing],,
SUBTITLE_FemaleBreathLowIntensity4,[Quiet breathing],,
SUBTITLE_FemaleBreathLowIntensity5,[Quiet breathing],,
SUBTITLE_FemaleBreathLowIntensity6,[Quiet breathing],,
SUBTITLE_FemaleBreathLowIntensity7,[Quiet breathing],,
SUBTITLE_FemaleBreathMediumIntensity1,[Moderate breathing],,
SUBTITLE_FemaleBreathMediumIntensity10,[Moderate breathing],,
SUBTITLE_FemaleBreathMediumIntensity2,[Moderate breathing],,
SUBTITLE_FemaleBreathMediumIntensity3,[Moderate breathing],,
SUBTITLE_FemaleBreathMediumIntensity4,[Moderate breathing],,
SUBTITLE_FemaleBreathMediumIntensity5,[Moderate breathing],,
SUBTITLE_FemaleBreathMediumIntensity6,[Moderate breathing],,
SUBTITLE_FemaleBreathMediumIntensity7,[Moderate breathing],,
SUBTITLE_FemaleBreathMediumIntensity8,[Moderate breathing],,
SUBTITLE_FemaleBreathMediumIntensity9,[Moderate breathing],,
SUBTITLE_FemaleBurnReaction1,Ow...hot hot hot.,,
SUBTITLE_FemaleBurnReaction2,Shit that burns.,,
SUBTITLE_FemaleBurnReaction3,Holy shit...that's hot.,,
SUBTITLE_FemaleBurnReaction4,Oh damn it...it burns...,,
SUBTITLE_FemaleBurnReaction5,Climbing into the fire...not a good idea.,,
SUBTITLE_FemaleBurns1,That hurts so much...,,
SUBTITLE_FemaleBurns2,It feels like it's still burning...,,
SUBTITLE_FemaleBurns3,Arggh the pain.,,
SUBTITLE_FemaleCatchBreath1,[Gasp],,
SUBTITLE_FemaleCatchBreath2,[Gasp],,
SUBTITLE_FemaleCatchBreath3,[Gasp],,
SUBTITLE_FemaleCatchBreath4,[Gasp],,
SUBTITLE_FemaleCatchBreath5,[Gasp],,
SUBTITLE_FemaleCombatAnimalGrappling1,Get away you mother...,,
SUBTITLE_FemaleCombatAnimalGrappling2,You're gonna die!!!!!,,
SUBTITLE_FemaleCombatAnimalGrappling3,I'm gonna to kill you and eat you ya bastard!!,,
SUBTITLE_FemaleCombatAnimalGrappling4,Let go of me!!!,,
SUBTITLE_FemaleCombatAnimalGrappling5,It's not gonna be that easy for you!!,,
SUBTITLE_FemaleCombatAnimalGrappling6,You're gonna have to do better than that!!,,
SUBTITLE_FemaleCombatAnimalGrappling7,[Extertion grunts],,
SUBTITLE_FemaleCombatAnimalGrappling8,[Extertion grunts],,
SUBTITLE_FemaleConditionDehydrated1,My tongue feels like sandpaper.,,
SUBTITLE_FemaleConditionDehydrated10,I would drink just about anything right now.,,
SUBTITLE_FemaleConditionDehydrated2,Mouth...so dry.,,
SUBTITLE_FemaleConditionDehydrated3,I need some water.,,
SUBTITLE_FemaleConditionDehydrated4,Need a drink.,,
SUBTITLE_FemaleConditionDehydrated5,Need...water.,,
SUBTITLE_FemaleConditionDehydrated6,I need to find something to drink.,,
SUBTITLE_FemaleConditionDehydrated7,I'm so thirsty I can't think straight.,,
SUBTITLE_FemaleConditionDehydrated8,"I need somethink to drink, and soon.",,
SUBTITLE_FemaleConditionDehydrated9,I'll die if I don't drink something soon.,,
SUBTITLE_FemaleConditionEncumberanceHigh1,Too much to carry.,,
SUBTITLE_FemaleConditionEncumberanceHigh2,I can't carry this any further.,,
SUBTITLE_FemaleConditionEncumberanceHigh3,I'm going to have leave some of this gear behind.,,
SUBTITLE_FemaleConditionEncumberanceLow1,This pack is getting kinda heavy.,,
SUBTITLE_FemaleConditionEncumberanceLow2,I'm not sure I can carry much more.,,
SUBTITLE_FemaleConditionEncumberanceLow3,I wonder if I can drop any of this gear...,,
SUBTITLE_FemaleConditionEncumberanceMedium1,I'm not going to be able to carry this load for much longer.,,
SUBTITLE_FemaleConditionEncumberanceMedium2,This pack is getting too heavy to carry.,,
SUBTITLE_FemaleConditionEncumberanceMedium3,I can barely walk with this much gear.,,
SUBTITLE_FemaleConditionFair1,I don't feel so good.,,
SUBTITLE_FemaleConditionFair2,I'm not sure I'm going to make it.,,
SUBTITLE_FemaleConditionFair3,Things are starting to look pretty grim.,,
SUBTITLE_FemaleConditionFair4,I'm not ready to die.,,
SUBTITLE_FemaleConditionFair5,(Needs new line recorded),,
SUBTITLE_FemaleConditionFatigue1,If I don't rest soon I'm going to faint.,,
SUBTITLE_FemaleConditionFatigue2,I think I need to lay down.,,
SUBTITLE_FemaleConditionFatigue3,I need to find a place to rest.,,
SUBTITLE_FemaleConditionFatigue4,I'm going to need to rest soon.,,
SUBTITLE_FemaleConditionFatigue5,Getting tired.,,
SUBTITLE_FemaleConditionFatigueHigh1,So tired I could just lay down right here.,,
SUBTITLE_FemaleConditionFatigueHigh2,I could lay down and have a little sleep right here.,,
SUBTITLE_FemaleConditionFatigueHigh3,I just need to close my eyes.,,
SUBTITLE_FemaleConditionFatigueHigh4,I'd lay down right here if I ever thought I'd wake up again.,,
SUBTITLE_FemaleConditionFatigueHigh5,So… tired…,,
SUBTITLE_FemaleConditionFatigueHigh6,"Man, I am too tired to think straight.",,
SUBTITLE_FemaleConditionFreezing1,Damn...I'm freezing.,,
SUBTITLE_FemaleConditionFreezing2,Goddam freezing.,,
SUBTITLE_FemaleConditionFreezing3,So...cold.,,
SUBTITLE_FemaleConditionFreezing4,I've never felt so cold in my life.,,
SUBTITLE_FemaleConditionFreezing5,I'm too cold to think.,,
SUBTITLE_FemaleConditionFreezing6,I'll die if I don't warm up soon.,,
SUBTITLE_FemaleConditionFreezing7,I'm so cold...just want to lay down for a bit...,,
SUBTITLE_FemaleConditionFreezing8,Wait...I'm so cold I'm warming up a bit.,,
SUBTITLE_FemaleConditionPoor1,I think this might be the end.,,
SUBTITLE_FemaleConditionPoor2,I'm going to die out here.,,
SUBTITLE_FemaleConditionPoor3,Things are starting to look pretty grim.,,
SUBTITLE_FemaleConditionPoor4,Not going to pull through this time...,,
SUBTITLE_FemaleConditionPoor5,In the end...did any of it really matter?,,
SUBTITLE_FemaleConditionStarving1,Dammit...so hungry.,,
SUBTITLE_FemaleConditionStarving10,Where can I find something to eat?,,
SUBTITLE_FemaleConditionStarving2,I'll die if I don't get some food soon.,,
SUBTITLE_FemaleConditionStarving3,Getting weak...,,
SUBTITLE_FemaleConditionStarving4,I'm so hungry.,,
SUBTITLE_FemaleConditionStarving5,Need something to eat.,,
SUBTITLE_FemaleConditionStarving6,My stomach feels like an empty pit...,,
SUBTITLE_FemaleConditionStarving7,Gotta eat soon.,,
SUBTITLE_FemaleConditionStarving8,Never thought I'd be dying from starvation.,,
SUBTITLE_FemaleConditionStarving9,I think my stomach is eating itself.,,
SUBTITLE_FemaleConditionVeryCold1,My fingers feel numb.,,
SUBTITLE_FemaleConditionVeryCold10,Jesus it's cold.,,
SUBTITLE_FemaleConditionVeryCold2,The cold is making my head feel thick...,,
SUBTITLE_FemaleConditionVeryCold3,I need to find some place to escape this cold.,,
SUBTITLE_FemaleConditionVeryCold4,I can't feel my feet.,,
SUBTITLE_FemaleConditionVeryCold5,I can't feel my hands.,,
SUBTITLE_FemaleConditionVeryCold6,Sure getting cold...,,
SUBTITLE_FemaleConditionVeryCold7,Starting to feel numb.,,
SUBTITLE_FemaleConditionVeryCold8,Gotta warm up somehow.,,
SUBTITLE_FemaleConditionVeryCold9,"Did I say I hate being cold, because I really do!",,
SUBTITLE_FemaleConditionVeryHungry1,I could eat anything right now.,,
SUBTITLE_FemaleConditionVeryHungry10,"Arrgh, I'm starving.",,
SUBTITLE_FemaleConditionVeryHungry2,I've never been so hungry in my life.,,
SUBTITLE_FemaleConditionVeryHungry3,Can you eat trees?,,
SUBTITLE_FemaleConditionVeryHungry4,All I can think about is food.,,
SUBTITLE_FemaleConditionVeryHungry5,I need to find food.,,
SUBTITLE_FemaleConditionVeryHungry6,I'm going to need to eat soon.,,
SUBTITLE_FemaleConditionVeryHungry7,I could eat anything.,,
SUBTITLE_FemaleConditionVeryHungry8,I could eat a horse.,,
SUBTITLE_FemaleConditionVeryHungry9,I'd eat anything right about now.,,
SUBTITLE_FemaleConditionVeryThirsty1,I would drink almost anything about now.,,
